municipio;uf;municipio.sub;uf.sub
ARAÇÁS;BA;ARAÇAS;BA
CAEM;BA;CAÉM;BA
IUIU;BA;IUIÚ;BA
MUQUÉM DO SÃO FRANCISCO;BA;MUQUÉM DE SÃO FRANCISCO;BA
QUINJINGUE;BA;QUIJINGUE;BA
SANTA TEREZINHA;BA;SANTA TERESINHA;BA
SANTO ESTEVÃO;BA;SANTO ESTÊVÃO;BA
ITAPAGÉ;CE;ITAPAJÉ;CE
ATÍLIO VIVÁCQUA;ES;ATILIO VIVACQUA;ES
ANHANGÜERA;GO;ANHANGUERA;GO
OLHOS D'ÁGUA;MG;OLHOS-D'ÁGUA;MG
PASSA VINTE;MG;PASSA-VINTE;MG
PINGO D'ÁGUA;MG;PINGO-D'ÁGUA;MG
SEM PEIXE;MG;SEM-PEIXE;MG
ELDORADO DOS CARAJÁS;PA;ELDORADO DO CARAJÁS;PA
SANTA ISABEL DO PARÁ;PA;SANTA IZABEL DO PARÁ;PA
SÃO DOMINGOS DE POMBAL;PB;SÃO DOMINGOS;PB
BELÉM DE SÃO FRANCISCO;PE;BELÉM DO SÃO FRANCISCO;PE
IGUARACI;PE;IGUARACY;PE
SÃO VICENTE FÉRRER;PE;SÃO VICENTE FERRER;PE
LUIS CORREIA;PI;LUÍS CORREIA;PI
ANTONIO OLINTO;PR;ANTÔNIO OLINTO;PR
SANTO ANTONIO DO CAIUÁ;PR;SANTO ANTÔNIO DO CAIUÁ;PR
TRAJANO DE MORAIS;RJ;TRAJANO DE MORAES;RJ
ASSÚ;RN;AÇU;RN
BOA SAÚDE;RN;;
CAMPO GRANDE;RN;;
OLHO D'ÁGUA DO BORGES;RN;OLHO-D'ÁGUA DO BORGES;RN
ALTA FLORESTA DO OESTE;RO;ALTA FLORESTA D'OESTE;RO
ALVORADA DO OESTE;RO;ALVORADA D'OESTE;RO
ESPIGÃO DO OESTE;RO;ESPIGÃO D'OESTE;RO
MACHADINHO DO OESTE;RO;MACHADINHO D'OESTE;RO
NOVA BRASILÂNDIA DO OESTE;RO;NOVA BRASILÂNDIA D'OESTE;RO
SANTA LUZIA DO OESTE;RO;SANTA LUZIA D'OESTE;RO
SÃO FELIPE DO OESTE;RO;SÃO FELIPE D'OESTE;RO
SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RS
GRÃO-PARÁ;SC;GRÃO PARÁ;SC
LAURO MÜLLER;SC;LAURO MULLER;SC
LUÍS ALVES;SC;LUIZ ALVES;SC
PRESIDENTE CASTELO BRANCO;SC;PRESIDENTE CASTELLO BRANCO;SC
SÃO CRISTÓVÃO DO SUL;SC;SÃO CRISTOVÃO DO SUL;SC
GRACCHO CARDOSO;SE;GRACHO CARDOSO;SE
BIRITIBA MIRIM;SP;BIRITIBA-MIRIM;SP
FLORÍNEA;SP;FLORÍNIA;SP
GUAIMBÉ;SP;GUAIMBÊ;SP
ITAOCA;SP;ITAÓCA;SP
COUTO DE MAGALHÃES;TO;COUTO MAGALHÃES;TO
SÃO VALÉRIO DA NATIVIDADE;TO;SÃO VALÉRIO;TO
