"";"municipio";"uf"
"1";"ARAÇAS";"BA"
"2";"CAÉM";"BA"
"3";"IUIÚ";"BA"
"4";"MUQUÉM DE SÃO FRANCISCO";"BA"
"5";"QUIJINGUE";"BA"
"6";"SANTA TERESINHA";"BA"
"7";"SANTO ESTÊVÃO";"BA"
"8";"ITAPAJÉ";"CE"
"9";"BRASÍLIA";"DF"
"10";"ATILIO VIVACQUA";"ES"
"11";"ANHANGUERA";"GO"
"12";"OLHOS-D'ÁGUA";"MG"
"13";"PASSA-VINTE";"MG"
"14";"PINGO-D'ÁGUA";"MG"
"15";"SEM-PEIXE";"MG"
"16";"ELDORADO DO CARAJÁS";"PA"
"17";"SANTA IZABEL DO PARÁ";"PA"
"18";"SÃO DOMINGOS";"PB"
"19";"BELÉM DO SÃO FRANCISCO";"PE"
"20";"FERNANDO DE NORONHA";"PE"
"21";"IGUARACY";"PE"
"22";"SÃO VICENTE FERRER";"PE"
"23";"LUÍS CORREIA";"PI"
"24";"ANTÔNIO OLINTO";"PR"
"25";"SANTO ANTÔNIO DO CAIUÁ";"PR"
"26";"TRAJANO DE MORAES";"RJ"
"27";"AÇU";"RN"
"28";"AUGUSTO SEVERO";"RN"
"29";"JANUÁRIO CICCO";"RN"
"30";"OLHO-D'ÁGUA DO BORGES";"RN"
"31";"ALTA FLORESTA D'OESTE";"RO"
"32";"ALVORADA D'OESTE";"RO"
"33";"ESPIGÃO D'OESTE";"RO"
"34";"MACHADINHO D'OESTE";"RO"
"35";"NOVA BRASILÂNDIA D'OESTE";"RO"
"36";"SANTA LUZIA D'OESTE";"RO"
"37";"SÃO FELIPE D'OESTE";"RO"
"38";"SANT'ANA DO LIVRAMENTO";"RS"
"39";"GRÃO PARÁ";"SC"
"40";"LAURO MULLER";"SC"
"41";"LUIZ ALVES";"SC"
"42";"PRESIDENTE CASTELLO BRANCO";"SC"
"43";"SÃO CRISTOVÃO DO SUL";"SC"
"44";"GRACHO CARDOSO";"SE"
"45";"BIRITIBA-MIRIM";"SP"
"46";"FLORÍNIA";"SP"
"47";"GUAIMBÊ";"SP"
"48";"ITAÓCA";"SP"
"49";"COUTO MAGALHÃES";"TO"
"50";"SÃO VALÉRIO";"TO"
