;municipio;uf;nome.municipio.sub;uf.sub
1;MANUEL URBANO;AC;MANOEL URBANO;AC
99;SANTA ROSA;AC;SANTA ROSA DO PURUS;AC
217;OLHO D AGUA DO CASADO;AL;OLHO D'AGUA DO CASADO;AL
310;OLHO D AGUA GRANDE;AL;OLHO D'AGUA GRANDE;AL
373;SENADOR TEOTONIO VILELA;AL;TEOTONIO VILELA;AL
444;TANQUE D ARCA;AL;TANQUE D'ARCA;AL
599;BOA VISTA DE RAMOS;AM;BOA VISTA DO RAMOS;AM
730;NOVO AYRAO;AM;NOVO AIRAO;AM
1665;AMAPARI;AP;AMAPA;AP
1707;DIAS D AVILA;BA;DIAS D'AVILA;BA
2102;GOVERNADOR LOMANTO JUNIOR;BA;;
2155;MUQUEM DO SAO FRANCISCO;BA;MUQUEM DE SAO FRANCISCO;BA
2171;XIQUE XIQUE;BA;XIQUE-XIQUE;BA
2294;DEP IRAPUAN PINHEIRO;CE;DEPUTADO IRAPUAN PINHEIRO;CE
2377;EUZEBIO;CE;EUSEBIO;CE
2604;GRANGEIRO;CE;GRANJEIRO;CE
2702;ITAPAGE;CE;ITAPAJE;CE
3129;SENADOR CATUNDA;CE;CATUNDA;CE
3230;TEJUSSUOCA;CE;TEJUCUOCA;CE
3320;SANTA MARIA DO JETIBA;ES;SANTA MARIA DE JETIBA;ES
3994;SAO DOMINGOS;ES;SAO DOMINGOS DO NORTE;ES
4260;AGUAS LINDAS;GO;AGUAS LINDAS DE GOIAS;GO
5263;ALTO PARAISO;GO;ALTO PARAISO DE GOIAS;GO
5593;BOM JESUS;GO;BOM JESUS DE GOIAS;GO
6197;MUNDO NOVO DE GOIAS;GO;MUNDO NOVO;GO
6527;SAO JOAO D ALIANCA;GO;SAO JOAO D'ALIANCA;GO
6939;SITIO D ABADIA;GO;SITIO D'ABADIA;GO
7027;VALPARAISO;GO;VALPARAISO DE GOIAS;GO
8392;AGUA DOCE;MA;AGUA DOCE DO MARANHAO;MA
8466;APICUM ACU;MA;APICUM-ACU;MA
8620;BELA VISTA;MA;BELA VISTA DO MARANHAO;MA
8673;CONCEICAO DO LAGO ACU;MA;CONCEICAO DO LAGO-ACU;MA
8785;GOVERNADOR EDSON LOBAO;MA;GOVERNADOR EDISON LOBAO;MA
8886;LUIS DOMINGUES DO MARANHAO;MA;LUIS DOMINGUES;MA
8966;OLHO D AGUA DAS CUNHAS;MA;OLHO D'AGUA DAS CUNHAS;MA
9048;PINDARE MIRIM;MA;PINDARE-MIRIM;MA
9325;SAO RAIMUNDO DA DOCA BEZERRA;MA;SAO RAIMUNDO DO DOCA BEZERRA;MA
9355;SENADOR LA ROQUE;MA;SENADOR LA ROCQUE;MA
9662;CONCEICAO DA PEDRA;MG;CONCEICAO DAS PEDRAS;MG
9684;GOUVEA;MG;GOUVEIA;MG
9719;ITAMOJI;MG;ITAMOGI;MG
10074;OLHOS DAGUA;MG;OLHOS-D'AGUA;MG
10185;PASSA VINTE;MG;PASSA-VINTE;MG
10416;PINGO DAGUA;MG;PINGO-D'AGUA;MG
10509;SANTA RITA DO IBITIPOCA;MG;SANTA RITA DE IBITIPOCA;MG
10628;SAO TOME DAS LETRAS;MG;SAO THOME DAS LETRAS;MG
10811;SAPUCAI MIRIM;MG;SAPUCAI-MIRIM;MG
10820;APARECIDA DO TABUADO;MS;APARECIDA DO TABOADO;MS
11287;BATAGUACU;MS;BATAGUASSU;MS
11798;BATAIPORA;MS;BATAYPORA;MS
12473;JUTY;MS;JUTI;MS
12883;NOVA BANDEIRANTE;MT;NOVA BANDEIRANTES;MT
13071;POXOREO;MT;POXOREU;MT
13463;IGARAPE ACU;PA;IGARAPE-ACU;PA
13704;TOME ACU;PA;TOME-ACU;PA
14018;CAMPO DE SANTANA;PB;;
14132;MAE D AGUA;PB;MAE D'AGUA;PB
14199;OLHO D AGUA;PB;OLHO D'AGUA;PB
14271;SANTA CECILIA DE UMBUZEIRO;PB;SANTA CECILIA;PB
14343;SANTAREM;PB;;
14433;SAO DOMINGOS DE POMBAL;PB;SAO DOMINGOS;PB
14498;SAO JOSE DO BREJO CRUZ;PB;SAO JOSE DO BREJO DO CRUZ;PB
14549;SAO SEB. DE LAGOA DE ROCA;PB;SAO SEBASTIAO DE LAGOA DE ROCA;PB
14696;BELEM DE SAO FRANCISCO;PE;BELEM DO SAO FRANCISCO;PE
14801;CABO;PE;CABO DE SANTO AGOSTINHO;PE
15219;IGUARACI;PE;IGUARACY;PE
15337;ITAMARACA;PE;ILHA DE ITAMARACA;PE
15407;JABOATAO;PE;JABOATAO DOS GUARARAPES;PE
16413;SAO CAETANO;PE;SAO CAITANO;PE
16519;ALAGOINHA;PI;ALAGOINHA DO PIAUI;PI
16639;OLHO DAGUA DO PIAUI;PI;OLHO D'AGUA DO PIAUI;PI
16735;PAU DARCO DO PIAUI;PI;PAU D'ARCO DO PIAUI;PI
16889;CONSELHEIRO MAYRINCK;PR;CONSELHEIRO MAIRINCK;PR
16993;DIAMANTE DO OESTE;PR;DIAMANTE D'OESTE;PR
17177;ITAGUAGE;PR;ITAGUAJE;PR
17304;ITAPEJARA DO OESTE;PR;ITAPEJARA D'OESTE;PR
17449;LUISIANIA;PR;LUIZIANA;PR
17655;MOREIRA SALLES;PR;MOREIRA SALES;PR
17986;MUNHOZ DE MELLO;PR;MUNHOZ DE MELO;PR
18086;PEROLA D OESTE;PR;PEROLA D'OESTE;PR
18260;SANTA ANA DO ITARARE;PR;SANTANA DO ITARARE;PR
18411;SANTA CRUZ DO MONTE CASTELO;PR;SANTA CRUZ DE MONTE CASTELO;PR
18525;SANTA IZABEL DO IVAI;PR;SANTA ISABEL DO IVAI;PR
18795;SAO JORGE D OESTE;PR;SAO JORGE D'OESTE;PR
18903;VILA ALTA;PR;;
19059;ARMACAO DE BUZIOS;RJ;ARMACAO DOS BUZIOS;RJ
20238;CAMPOS;RJ;CAMPOS DOS GOYTACAZES;RJ
21889;PARATI;RJ;PARATY;RJ
22178;PATI DO ALFERES;RJ;PATY DO ALFERES;RJ
22442;TRAJANO DE MORAIS;RJ;TRAJANO DE MORAES;RJ
22705;VARRE E SAI;RJ;VARRE-SAI;RJ
22850;ASSU;RN;ACU;RN
23350;BOA SAUDE;RN;;
23454;CAMPO GRANDE;RN;;
23583;CEARA MIRIM;RN;CEARA-MIRIM;RN
23651;CERRO-CORA;RN;CERRO CORA;RN
23865;FERNANDO PEDROSA;RN;FERNANDO PEDROZA;RN
23939;LAGOA D ANTA;RN;LAGOA D'ANTA;RN
24028;OLHO D'AGUA DO BORGES;RN;OLHO-D'AGUA DO BORGES;RN
24062;SAO JOSE DE CAMPESTRE;RN;SAO JOSE DO CAMPESTRE;RN
24246;SAO MIGUEL DE TOUROS;RN;SAO MIGUEL DO GOSTOSO;RN
24437;VENHA VER;RN;VENHA-VER;RN
24519;ALTA FLORESTA DO OESTE;RO;ALTA FLORESTA D'OESTE;RO
24920;ALVORADA DO OESTE;RO;ALVORADA D'OESTE;RO
24933;GUAJARA MIRIM;RO;GUAJARA-MIRIM;RO
25397;JI PARANA;RO;JI-PARANA;RO
25434;MACHADINHO DO OESTE;RO;MACHADINHO D'OESTE;RO
26081;NOVA BRASILANDIA;RO;NOVA BRASILANDIA D'OESTE;RO
26422;SANTA LUZIA DO OESTE;RO;SANTA LUZIA D'OESTE;RO
27217;SAO FELIPE D OESTE;RO;SAO FELIPE D'OESTE;RO
27574;SAO LUIZ DO ANAUA;RR;SAO LUIZ;RR
27738;CHIAPETA;RS;CHIAPETTA;RS
28058;ENTRE IJUIS;RS;ENTRE-IJUIS;RS
28654;NAO ME TOQUE;RS;NAO-ME-TOQUE;RS
29267;SANTANA DO LIVRAMENTO;RS;SANT'ANA DO LIVRAMENTO;RS
30934;SAO LUIS GONZAGA;RS;SAO LUIZ GONZAGA;RS
31752;LUIS ALVES;SC;LUIZ ALVES;SC
31966;PICARRAS;SC;BALNEARIO PICARRAS;SC
32313;PRESIDENTE CASTELO BRANCO;SC;PRESIDENTE CASTELLO BRANCO;SC
32464;AMPARO DO SAO FRANCISCO;SE;AMPARO DE SAO FRANCISCO;SE
32538;CANINDE DO SAO FRANCISCO;SE;CANINDE DE SAO FRANCISCO;SE
32851;GRACCHO CARDOSO;SE;GRACHO CARDOSO;SE
32912;ITAPORANGA D AJUDA;SE;ITAPORANGA D'AJUDA;SE
33092;APARECIDA D OESTE;SP;APARECIDA D'OESTE;SP
33441;ARCO IRIS;SP;ARCO-IRIS;SP
33543;BADY BASSIT;SP;BADY BASSITT;SP
33757;BIRITIBA MIRIM;SP;BIRITIBA-MIRIM;SP
34234;EMBU;SP;EMBU DAS ARTES;SP
35512;EMBU GUACU;SP;EMBU-GUACU;SP
36074;ESTRELA D OESTE;SP;ESTRELA D'OESTE;SP
36332;FLORINEA;SP;FLORINIA;SP
36708;GUARANI D OESTE;SP;GUARANI D'OESTE;SP
36884;IPAUCU;SP;IPAUSSU;SP
37219;LUISIANIA;SP;LUIZIANIA;SP
37413;MOJI GUACU;SP;MOGI GUACU;SP
38627;MOJI MIRIM;SP;MOGI MIRIM;SP
40088;PALMEIRA D OESTE;SP;PALMEIRA D'OESTE;SP
40649;PIRACUNUNGA;SP;PIRASSUNUNGA;SP
42852;SALMORAO;SP;SALMOURAO;SP
43253;SANTA BARBARA D OESTE;SP;SANTA BARBARA D'OESTE;SP
44821;SANTA CLARA D OESTE;SP;SANTA CLARA D'OESTE;SP
44918;SANTA RITA D OESTE;SP;SANTA RITA D'OESTE;SP
45142;SANTO ANTONIO DA POSSE;SP;SANTO ANTONIO DE POSSE;SP
45259;SAO JOAO DO PAU D ALHO;SP;SAO JOAO DO PAU D'ALHO;SP
45739;SUD MENUCCI;SP;SUD MENNUCCI;SP
46218;SUZANOPOLIS;SP;SUZANAPOLIS;SP
46316;VALPARAIZO;SP;VALPARAISO;SP
46752;COUTO DE MAGALHAES;TO;COUTO MAGALHAES;TO
46843;DARCYNOPOLIS;TO;DARCINOPOLIS;TO
46956;MONTE SANTO;TO;MONTE SANTO DO TOCANTINS;TO
47032;SAO VALERIO DA NATIVIDADE;TO;SAO VALERIO;TO
