municipio;municipio.sub
ALTA FLORESTA DO OESTE;ALTA FLORESTA D'OESTE
ALVORADA DO OESTE;ALVORADA D'OESTE
AMAJARÍ;AMAJARI
AMAMBAÍ;AMAMBAI
AMAPARI;AMARAJI
AMPARO DO SÃO FRANCISCO;AMPARO DE SÃO FRANCISCO
ANHANGÜERA;ANHANGUERA
ARAÇÁS;ARAÇAS
ARAIÓSES;ARAIOSES
ARMAÇÃO DE BÚZIOS;ARMAÇÃO DOS BÚZIOS
ATÍLIO VIVACQUA;ATILIO VIVACQUA
BADY BASSIT;BADY BASSITT
BANDEIRANTE DO TOCANTINS;BANDEIRANTES DO TOCANTINS
BATAIPORÃ;BATAYPORÃ
BELÉM DE SÃO FRANCISCO;BELÉM DO SÃO FRANCISCO
BIRITIBA MIRIM;BIRITIBA-MIRIM
BOA SAÚDE;
BRASÓPOLIS;BRAZÓPOLIS
CAEM;CAÉM
CAMACÃ;CAMACAN
CAMPO DE SANTANA;
CAMPOS;
CAMPOS;
CANGUÇÚ;CANGUÇU
CANINDÉ DO SÃO FRANCISCO;CANINDÉ DE SÃO FRANCISCO
CERRO-CORÁ;CERRO CORÁ
COUTO DE MAGALHÃES;COUTO MAGALHÃES
DIAMANTE DO OESTE;DIAMANTE D'OESTE
ELDORADO DOS CARAJÁS;ELDORADO DO CARAJÁS
EMBU;
EMBU;
ENTRE IJUÍS;ENTRE-IJUÍS
ESPIGÃO DO OESTE;ESPIGÃO D'OESTE
GOVERNADOR EDSON LOBÃO;GOVERNADOR EDISON LOBÃO
GRÃO-PARÁ;GRÃO PARÁ
IPAUÇU;IPAUSSU
ITAMARACÁ;
ITAPAGÉ;ITAPAJÉ
ITAPECURU-MIRIM;ITAPECURU MIRIM
ITAPEJARA DO OESTE;ITAPEJARA D'OESTE
LARANJAL DO JARÍ;LARANJAL DO JARI
LAURO MÜLLER;LAURO MULLER
LUÍS ALVES;LUIZ ALVES
LUIS CORREIA;LUÍS CORREIA
LUIS EDUARDO MAGALHÃES;LUÍS EDUARDO MAGALHÃES
LUISIÂNIA;LUIZIÂNIA
MAÇAMBARA;MAÇAMBARÁ
MACHADINHO DO OESTE;MACHADINHO D'OESTE
MANUEL URBANO;MANOEL URBANO
MOJI-GUACU;MOGI GUAÇU
MOJI-MIRIM;MOGI MIRIM
NOVA BANDEIRANTE;NOVA BANDEIRANTES
NOVO SANTO ANTONIO;NOVO SANTO ANTÔNIO
NOVO XINGÚ;NOVO XINGU
OLHO D`ÁGUA DAS CUNHÃS;OLHO D'ÁGUA DAS CUNHÃS
OLHOS D'ÁGUA;OLHOS-D'ÁGUA
PALMAS DO MONTE ALTO;PALMAS DE MONTE ALTO
PÂNTANO GRANDE;PANTANO GRANDE
PARATI;PARATY
PATI DO ALFERES;PATY DO ALFERES
PINGO D'ÁGUA;PINGO-D'ÁGUA
QUEBRÂNGULO;QUEBRANGULO
QUINJINGUE;QUIJINGUE
SANTA CRUZ DE CABRÁLIA;SANTA CRUZ CABRÁLIA
SANTA CRUZ DO MONTE CASTELO;SANTA CRUZ DE MONTE CASTELO
SANTA LUZIA DO OESTE;SANTA LUZIA D'OESTE
SANTA MARIA DO JETIBÁ;SANTA MARIA DE JETIBÁ
SANTANA DO LIVRAMENTO;
SANTO ANTÔNIO DA POSSE;SANTO ANTÔNIO DE POSSE
SANTO ANTONIO DO PARAÍSO;SANTO ANTÔNIO DO PARAÍSO
SANTO ESTEVÃO;SANTO ESTÊVÃO
SÃO CRISTÓVÃO DO SUL;SÃO CRISTOVÃO DO SUL
SÃO FELIPE DO OESTE;SÃO FELIPE D'OESTE
SÃO JOÃO DO BALIZA;SÃO JOÃO DA BALIZA
SÃO JOÃO DO CARU;SÃO JOÃO DO CARÚ
SÃO JOÃO DO SÓTER;SÃO JOÃO DO SOTER
SÃO JOSÉ DE CAMPESTRE;SÃO JOSÉ DO CAMPESTRE
SÃO JOSÉ DOS BASILIOS;SÃO JOSÉ DOS BASÍLIOS
SÃO LUIS GONZAGA DO MARANHÃO;SÃO LUÍS GONZAGA DO MARANHÃO
SÃO LUIZ DO ANAUÁ;
SÃO VALÉRIO DO TOCANTINS;SÃO VALÉRIO
SAPUCAÍ MIRIM;SAPUCAÍ-MIRIM
SAPUCAÍ MIRIM;SAPUCAÍ-MIRIM
SEM PEIXE;SEM-PEIXE
SENADOR TEOTÔNIO VILELA;
SINIMBÚ;SINIMBU
SUD MENUCCI;SUD MENNUCCI
TAQUARUÇÚ DO SUL;TAQUARUÇU DO SUL
TARABAÍ;TARABAI
TRAIPÚ;TRAIPU
VARRE E SAI;VARRE-SAI
VITÓRIA DO JARÍ;VITÓRIA DO JARI
