"";"municipio";"uf";"x"
"1";"ALTA FLORESTA D'OESTE";"RO";1
"2";"ALTO ALEGRE DOS PARECIS";"RO";1
"3";"ALTO PARAÍSO";"RO";1
"4";"ALVORADA D'OESTE";"RO";1
"5";"ARIQUEMES";"RO";1
"6";"BURITIS";"RO";1
"7";"CABIXI";"RO";1
"8";"CACAULÂNDIA";"RO";1
"9";"CACOAL";"RO";1
"10";"CAMPO NOVO DE RONDÔNIA";"RO";1
"11";"CANDEIAS DO JAMARI";"RO";1
"12";"CASTANHEIRAS";"RO";1
"13";"CEREJEIRAS";"RO";1
"14";"CHUPINGUAIA";"RO";1
"15";"COLORADO DO OESTE";"RO";1
"16";"CORUMBIARA";"RO";1
"17";"COSTA MARQUES";"RO";1
"18";"CUJUBIM";"RO";1
"19";"ESPIGÃO D'OESTE";"RO";1
"20";"GOVERNADOR JORGE TEIXEIRA";"RO";1
"21";"GUAJARÁ-MIRIM";"RO";1
"22";"ITAPUÃ DO OESTE";"RO";1
"23";"JARU";"RO";1
"24";"JI-PARANÁ";"RO";1
"25";"MACHADINHO D'OESTE";"RO";1
"26";"MINISTRO ANDREAZZA";"RO";1
"27";"MIRANTE DA SERRA";"RO";1
"28";"MONTE NEGRO";"RO";1
"29";"NOVA BRASILÂNDIA D'OESTE";"RO";1
"30";"NOVA MAMORÉ";"RO";1
"31";"NOVA UNIÃO";"RO";1
"32";"NOVO HORIZONTE DO OESTE";"RO";1
"33";"OURO PRETO DO OESTE";"RO";1
"34";"PARECIS";"RO";1
"35";"PIMENTA BUENO";"RO";1
"36";"PIMENTEIRAS DO OESTE";"RO";1
"37";"PORTO VELHO";"RO";1
"38";"PRESIDENTE MÉDICI";"RO";1
"39";"PRIMAVERA DE RONDÔNIA";"RO";1
"40";"RIO CRESPO";"RO";1
"41";"ROLIM DE MOURA";"RO";1
"42";"SANTA LUZIA D'OESTE";"RO";1
"43";"SÃO FELIPE D'OESTE";"RO";1
"44";"SÃO FRANCISCO DO GUAPORÉ";"RO";1
"45";"SÃO MIGUEL DO GUAPORÉ";"RO";1
"46";"SERINGUEIRAS";"RO";1
"47";"TEIXEIRÓPOLIS";"RO";1
"48";"THEOBROMA";"RO";1
"49";"URUPÁ";"RO";1
"50";"VALE DO ANARI";"RO";1
"51";"VALE DO PARAÍSO";"RO";1
"52";"VILHENA";"RO";1
"53";"ACRELÂNDIA";"AC";1
"54";"ASSIS BRASIL";"AC";1
"55";"BRASILÉIA";"AC";1
"56";"BUJARI";"AC";1
"57";"CAPIXABA";"AC";1
"58";"CRUZEIRO DO SUL";"AC";1
"59";"EPITACIOLÂNDIA";"AC";1
"60";"FEIJÓ";"AC";1
"61";"JORDÃO";"AC";1
"62";"MÂNCIO LIMA";"AC";1
"63";"MANOEL URBANO";"AC";1
"64";"MARECHAL THAUMATURGO";"AC";1
"65";"PLÁCIDO DE CASTRO";"AC";1
"66";"PORTO ACRE";"AC";1
"67";"PORTO WALTER";"AC";1
"68";"RIO BRANCO";"AC";1
"69";"RODRIGUES ALVES";"AC";1
"70";"SANTA ROSA DO PURUS";"AC";1
"71";"SENA MADUREIRA";"AC";1
"72";"SENADOR GUIOMARD";"AC";1
"73";"TARAUACÁ";"AC";1
"74";"XAPURI";"AC";1
"75";"ALVARÃES";"AM";1
"76";"AMATURÁ";"AM";1
"77";"ANAMÃ";"AM";1
"78";"ANORI";"AM";1
"79";"APUÍ";"AM";1
"80";"ATALAIA DO NORTE";"AM";1
"81";"AUTAZES";"AM";1
"82";"BARCELOS";"AM";1
"83";"BARREIRINHA";"AM";1
"84";"BENJAMIN CONSTANT";"AM";1
"85";"BERURI";"AM";1
"86";"BOA VISTA DO RAMOS";"AM";1
"87";"BOCA DO ACRE";"AM";1
"88";"BORBA";"AM";1
"89";"CAAPIRANGA";"AM";1
"90";"CANUTAMA";"AM";1
"91";"CARAUARI";"AM";1
"92";"CAREIRO";"AM";1
"93";"CAREIRO DA VÁRZEA";"AM";1
"94";"COARI";"AM";1
"95";"CODAJÁS";"AM";1
"96";"EIRUNEPÉ";"AM";1
"97";"ENVIRA";"AM";1
"98";"FONTE BOA";"AM";1
"99";"GUAJARÁ";"AM";1
"100";"HUMAITÁ";"AM";1
"101";"IPIXUNA";"AM";1
"102";"IRANDUBA";"AM";1
"103";"ITACOATIARA";"AM";1
"104";"ITAMARATI";"AM";1
"105";"ITAPIRANGA";"AM";1
"106";"JAPURÁ";"AM";1
"107";"JURUÁ";"AM";1
"108";"JUTAÍ";"AM";1
"109";"LÁBREA";"AM";1
"110";"MANACAPURU";"AM";1
"111";"MANAQUIRI";"AM";1
"112";"MANAUS";"AM";1
"113";"MANICORÉ";"AM";1
"114";"MARAÃ";"AM";1
"115";"MAUÉS";"AM";1
"116";"NHAMUNDÁ";"AM";1
"117";"NOVA OLINDA DO NORTE";"AM";1
"118";"NOVO AIRÃO";"AM";1
"119";"NOVO ARIPUANÃ";"AM";1
"120";"PARINTINS";"AM";1
"121";"PAUINI";"AM";1
"122";"PRESIDENTE FIGUEIREDO";"AM";1
"123";"RIO PRETO DA EVA";"AM";1
"124";"SANTA ISABEL DO RIO NEGRO";"AM";1
"125";"SANTO ANTÔNIO DO IÇÁ";"AM";1
"126";"SÃO GABRIEL DA CACHOEIRA";"AM";1
"127";"SÃO PAULO DE OLIVENÇA";"AM";1
"128";"SÃO SEBASTIÃO DO UATUMÃ";"AM";1
"129";"SILVES";"AM";1
"130";"TABATINGA";"AM";1
"131";"TAPAUÁ";"AM";1
"132";"TEFÉ";"AM";1
"133";"TONANTINS";"AM";1
"134";"UARINI";"AM";1
"135";"URUCARÁ";"AM";1
"136";"URUCURITUBA";"AM";1
"137";"ALTO ALEGRE";"RR";1
"138";"AMAJARI";"RR";1
"139";"BOA VISTA";"RR";1
"140";"BONFIM";"RR";1
"141";"CANTÁ";"RR";1
"142";"CARACARAÍ";"RR";1
"143";"CAROEBE";"RR";1
"144";"IRACEMA";"RR";1
"145";"MUCAJAÍ";"RR";1
"146";"NORMANDIA";"RR";1
"147";"PACARAIMA";"RR";1
"148";"RORAINÓPOLIS";"RR";1
"149";"SÃO JOÃO DA BALIZA";"RR";1
"150";"SÃO LUIZ";"RR";1
"151";"UIRAMUTÃ";"RR";1
"152";"ABAETETUBA";"PA";1
"153";"ABEL FIGUEIREDO";"PA";1
"154";"ACARÁ";"PA";1
"155";"AFUÁ";"PA";1
"156";"ÁGUA AZUL DO NORTE";"PA";1
"157";"ALENQUER";"PA";1
"158";"ALMEIRIM";"PA";1
"159";"ALTAMIRA";"PA";1
"160";"ANAJÁS";"PA";1
"161";"ANANINDEUA";"PA";1
"162";"ANAPU";"PA";1
"163";"AUGUSTO CORRÊA";"PA";1
"164";"AURORA DO PARÁ";"PA";1
"165";"AVEIRO";"PA";1
"166";"BAGRE";"PA";1
"167";"BAIÃO";"PA";1
"168";"BANNACH";"PA";1
"169";"BARCARENA";"PA";1
"170";"BELÉM";"PA";1
"171";"BELTERRA";"PA";1
"172";"BENEVIDES";"PA";1
"173";"BOM JESUS DO TOCANTINS";"PA";1
"174";"BONITO";"PA";1
"175";"BRAGANÇA";"PA";1
"176";"BRASIL NOVO";"PA";1
"177";"BREJO GRANDE DO ARAGUAIA";"PA";1
"178";"BREU BRANCO";"PA";1
"179";"BREVES";"PA";1
"180";"BUJARU";"PA";1
"181";"CACHOEIRA DO ARARI";"PA";1
"182";"CACHOEIRA DO PIRIÁ";"PA";1
"183";"CAMETÁ";"PA";1
"184";"CANAÃ DOS CARAJÁS";"PA";1
"185";"CAPANEMA";"PA";1
"186";"CAPITÃO POÇO";"PA";1
"187";"CASTANHAL";"PA";1
"188";"CHAVES";"PA";1
"189";"COLARES";"PA";1
"190";"CONCEIÇÃO DO ARAGUAIA";"PA";1
"191";"CONCÓRDIA DO PARÁ";"PA";1
"192";"CUMARU DO NORTE";"PA";1
"193";"CURIONÓPOLIS";"PA";1
"194";"CURRALINHO";"PA";1
"195";"CURUÁ";"PA";1
"196";"CURUÇÁ";"PA";1
"197";"DOM ELISEU";"PA";1
"198";"ELDORADO DO CARAJÁS";"PA";1
"199";"FARO";"PA";1
"200";"FLORESTA DO ARAGUAIA";"PA";1
"201";"GARRAFÃO DO NORTE";"PA";1
"202";"GOIANÉSIA DO PARÁ";"PA";1
"203";"GURUPÁ";"PA";1
"204";"IGARAPÉ-AÇU";"PA";1
"205";"IGARAPÉ-MIRI";"PA";1
"206";"INHANGAPI";"PA";1
